City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Nilanga,IN,18.1,76.7667,89.04,23,98,12.15,overcast clouds
270,Calbuco,CL,-41.768,-73.1273,53.6,100,75,6.91,broken clouds
271,Prince Albert,CA,53.2001,-105.7677,66.2,18,75,18.41,broken clouds
272,Bac Lieu,VN,9.285,105.7244,81.5,71,80,4.94,broken clouds
273,Verkhnyaya Inta,RU,65.9811,60.3094,25.99,88,97,5.75,overcast clouds
274,Mangrol,IN,21.1167,70.1167,77.76,74,0,11.54,clear sky
275,Luganville,VU,-15.5333,167.1667,84.29,70,75,4.16,broken clouds
276,Manta,EC,-0.95,-80.7333,82.4,69,75,6.91,broken clouds
277,Saskylakh,RU,71.9167,114.0833,2.46,96,100,5.61,overcast clouds
278,Floriano,BR,-6.7669,-43.0225,83.32,48,93,5.1,overcast clouds
279,Namatanai,PG,-3.6667,152.4333,79.36,85,100,7.65,moderate rain
280,Talnakh,RU,69.4865,88.3972,0.43,96,77,1.79,broken clouds
281,San Julian,MX,21.0167,-102.1667,81.09,8,0,6.35,clear sky
282,Kushima,JP,31.4583,131.2333,59.0,67,75,6.91,broken clouds
283,Acaponeta,MX,22.4964,-105.3594,85.62,37,6,7.0,clear sky
284,Dingle,PH,10.9995,122.6711,80.44,74,74,7.18,broken clouds
285,Ixtapa,MX,20.7,-105.2,77.0,78,75,13.8,broken clouds
286,Kahului,US,20.8947,-156.47,78.8,53,40,21.85,scattered clouds
287,Tianpeng,CN,30.9866,103.9393,62.01,100,40,2.24,scattered clouds
288,Saran,FR,47.9501,1.876,41.0,52,0,1.14,clear sky
289,Zhigansk,RU,66.7697,123.3711,8.85,89,100,21.52,overcast clouds
290,Vestmannaeyjar,IS,63.4427,-20.2734,33.73,96,100,18.61,snow
291,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,80.06,63,89,5.35,overcast clouds
292,Rafraf,TN,37.1904,10.1837,53.6,58,40,5.75,scattered clouds
293,Victoria,HK,22.2855,114.1577,73.99,78,95,1.01,overcast clouds
294,Kruisfontein,ZA,-34.0033,24.7314,61.0,91,84,1.01,broken clouds
295,Meteti,PA,8.4983,-77.9786,77.11,90,100,1.32,overcast clouds
296,Kavaratti,IN,10.5669,72.642,83.43,71,25,8.84,scattered clouds
297,Madera,US,37.1666,-119.8343,70.0,44,51,1.99,broken clouds
298,Tsiroanomandidy,MG,-18.7667,46.0333,64.69,91,67,2.35,broken clouds
299,Monteagudo,BO,-19.8167,-63.9833,78.8,73,40,1.83,scattered clouds
300,Velykyy Burluk,UA,50.0379,37.3987,38.19,84,84,15.55,light rain
301,Novouzensk,RU,50.4592,48.1431,45.37,76,91,10.71,overcast clouds
302,Honiara,SB,-9.4333,159.95,82.36,75,100,7.47,overcast clouds
303,Sweetwater,US,25.7634,-80.3731,73.0,60,75,10.36,broken clouds
304,Churapcha,RU,62.0025,132.4325,10.62,88,97,5.97,overcast clouds
305,Evensk,RU,61.95,159.2333,13.12,81,28,1.7,scattered clouds
306,Betera,ES,39.5833,-0.45,52.0,93,75,3.13,broken clouds
307,Valentin Gomez Farias,MX,28.2167,-106.5833,75.99,9,85,7.0,overcast clouds
308,Suntar,RU,62.1444,117.6319,33.28,99,100,6.04,light snow
309,Brigantine,US,39.4101,-74.3646,50.0,57,1,3.44,clear sky
310,Nagua,DO,19.3832,-69.8474,75.2,78,75,10.87,broken clouds
311,Colac,AU,-38.3333,143.5833,66.0,73,25,7.16,scattered clouds
312,Marquette,US,46.5333,-87.6335,48.99,82,86,1.01,overcast clouds
313,Kaeo,NZ,-35.1,173.7833,70.0,79,59,7.0,broken clouds
314,Phetchabun,TH,16.25,101.0833,73.4,100,33,2.8,scattered clouds
315,Sosnogorsk,RU,63.6023,53.8817,31.78,93,95,5.44,overcast clouds
316,Malanville,BJ,11.8685,3.3899,88.84,11,17,3.87,few clouds
317,Kilrush,IE,52.6397,-9.4833,42.8,87,0,4.61,clear sky
318,Poronaysk,RU,49.2167,143.1167,30.81,79,100,16.02,overcast clouds
319,Duncan,US,34.5023,-97.9578,68.0,30,1,18.41,clear sky
320,Galveston,US,29.3669,-94.9669,75.0,88,90,8.05,mist
321,Hailey,US,43.5196,-114.3153,60.8,18,40,11.5,scattered clouds
322,Haikou,CN,20.0458,110.3417,77.0,88,0,4.47,clear sky
323,Margate,GB,51.3813,1.3862,39.0,52,10,1.99,clear sky
324,Azangaro,PE,-14.9167,-70.2167,47.59,72,99,3.09,overcast clouds
325,Ahipara,NZ,-35.1667,173.1667,70.2,61,37,1.61,scattered clouds
326,Ossora,RU,59.2353,163.0719,16.86,87,94,2.91,overcast clouds
327,Acapulco,MX,16.8634,-99.8901,82.4,69,40,11.5,scattered clouds
328,Bolshaya Rechka,RU,51.9503,104.7355,33.8,64,0,8.95,clear sky
329,Boa Vista,BR,2.8197,-60.6733,82.4,74,20,4.61,light rain
330,Daru,PG,-9.0763,143.2092,78.17,84,100,8.84,overcast clouds
331,Burgos,ES,42.3394,-3.7079,33.8,69,54,1.14,broken clouds
332,Amahai,ID,-3.3333,128.9167,82.47,73,98,1.54,overcast clouds
